rsi_ob,rsi_os,initial_capital,final_equity,net_profit,return_pct,max_drawdown_pct,sharpe,trades,win_rate,gross_profit,gross_loss,profit_factor,avg_win,avg_loss
75,45,5000.0,5915.92069099067,915.9206909906698,18.318413819813394,36.36382251784658,0.170622112070265,504,45.43650793650794,23546.75436609736,22630.83367510669,1.0404722470298635,102.8242548737876,-82.2939406367516
75,40,5000.0,5829.939184772372,829.9391847723718,16.598783695447437,36.36382251784652,0.16332239939148926,507,45.16765285996055,23234.270300280183,22404.331115507815,1.0370436939399588,101.45969563441128,-80.59111912053172
85,45,5000.0,5771.607018639124,771.6070186391244,15.432140372782488,34.43993299236139,0.1587927310593434,330,42.12121212121212,17908.611711942292,17137.00469330317,1.0450257809021113,128.83893317944094,-89.72253766127314
90,30,5000.0,5615.548752299224,615.5487522992244,12.310975045984488,35.79187244533342,0.14485093357027465,311,44.05144694533762,16146.963613540069,15531.414861240846,1.0396324969617123,117.8610482740151,-89.26100494966003
90,40,5000.0,5615.548752299224,615.5487522992244,12.310975045984488,35.79187244533342,0.14485093357027465,311,44.05144694533762,16146.963613540069,15531.414861240846,1.0396324969617123,117.8610482740151,-89.26100494966003
90,35,5000.0,5615.548752299224,615.5487522992244,12.310975045984488,35.79187244533342,0.14485093357027465,311,44.05144694533762,16146.963613540069,15531.414861240846,1.0396324969617123,117.8610482740151,-89.26100494966003
85,30,5000.0,5468.041640085865,468.04164008586486,9.360832801717297,34.43993299236141,0.13244371587711107,329,41.94528875379939,16761.475161023576,16293.433520937704,1.0287257832724097,121.45996493495345,-85.30593466459531
85,35,5000.0,5468.041640085865,468.04164008586486,9.360832801717297,34.43993299236141,0.13244371587711107,329,41.94528875379939,16761.475161023576,16293.433520937704,1.0287257832724097,121.45996493495345,-85.30593466459531
85,40,5000.0,5468.041640085865,468.04164008586486,9.360832801717297,34.43993299236141,0.13244371587711107,329,41.94528875379939,16761.475161023576,16293.433520937704,1.0287257832724097,121.45996493495345,-85.30593466459531
80,30,5000.0,3789.117773362978,-1210.882226637022,-24.217644532740444,47.43886835512399,-0.04488908536348238,366,42.07650273224044,15613.590505796106,16824.472732433125,0.9280285185815803,101.38695133633836,-79.36072043600531
80,35,5000.0,3789.117773362978,-1210.882226637022,-24.217644532740444,47.43886835512399,-0.04488908536348238,366,42.07650273224044,15613.590505796106,16824.472732433125,0.9280285185815803,101.38695133633836,-79.36072043600531
80,40,5000.0,3789.117773362978,-1210.882226637022,-24.217644532740444,47.43886835512399,-0.04488908536348238,366,42.07650273224044,15613.590505796106,16824.472732433125,0.9280285185815803,101.38695133633836,-79.36072043600531
80,45,5000.0,3756.1648679839755,-1243.8351320160245,-24.87670264032049,47.43886835512395,-0.05033128992948882,378,41.53439153439153,15928.63816957127,17172.4733015873,0.9275680846799711,101.45629407370235,-77.70349910220497
