date,position_change,capital_change,positions,capital_deployed
2020-02-03,-1,-1179.9712720720895,3,797.4187977055456
2020-02-04,1,1208.6954677528188,4,2006.1142654583643
2020-02-05,0,31.699470778319892,4,2037.8137362366842
2020-02-06,0,-90.0499253810026,4,1947.7638108556816
2020-02-07,0,-6.043298980052896,4,1941.7205118756287
2020-02-11,1,1205.8042170037436,5,3147.5247288793726
2020-02-12,0,-12.857675920193742,5,3134.667052959179
2020-02-13,-1,-1215.9828610099144,4,1918.6841919492645
2020-02-14,0,-4.5701009986894405,4,1914.114090950575
2020-02-18,0,-9.331080752677735,4,1904.7830101978973
2020-02-19,0,-49.838935980138785,4,1854.9440742177585
2020-02-20,0,-34.10738040401293,4,1820.8366938137456
2020-02-21,1,1264.7263073992722,5,3085.5630012130177
2020-02-25,-1,-1200.8747192078877,4,1884.68828200513
2020-02-26,-1,-1193.1943773205771,3,691.493904684553
2020-02-27,-1,-1165.496073289306,2,-474.002168604753
2020-02-28,-2,-2249.534868975462,0,-2723.537037580215
2020-03-03,4,4683.3499194345295,4,1959.8128818543146
2020-03-04,1,1156.9441509188327,5,3116.7570327731473
2020-03-05,0,-6.933633316219584,5,3109.8233994569277
2020-03-06,0,-35.97248635130586,5,3073.8509131056217
2020-03-13,-4,-4235.055645033026,1,-1161.2047319274043
2020-03-16,-1,-1184.7880148890188,0,-2345.9927468164233
2020-03-18,4,4366.529869873781,4,2020.5371230573573
2020-03-23,-1,-1013.6933555578039,3,1006.8437674995535
2020-03-25,1,1075.0799309080105,4,2081.923698407564
2020-04-06,0,-60.61249738411698,4,2021.3112010234472
2020-04-07,0,-35.00256097487363,4,1986.3086400485736
2020-04-09,1,993.5110691502557,5,2979.8197091988295
2020-04-13,0,-82.41101368572981,5,2897.4086955130997
2020-04-29,0,-39.38469487167572,5,2858.024000641424
2020-04-30,0,-40.81700165579582,5,2817.206998985628
2020-05-06,0,29.246743515293247,5,2846.453742500921
2020-05-08,-1,-1285.1152798761336,4,1561.3384626247876
2020-05-11,0,52.19169885340489,4,1613.5301614781924
2020-05-12,-1,-1283.159461317772,3,330.3707001604205
2020-05-13,0,30.935381836482975,3,361.30608199690346
2020-05-15,1,1285.2054219251231,4,1646.5115039220266
2020-05-19,1,1282.3760215380748,5,2928.8875254601016
2020-05-21,0,-62.84063823867609,5,2866.0468872214255
2020-05-27,0,-83.48632085009103,5,2782.5605663713345
2020-05-28,0,-56.45246346219983,5,2726.1081029091347
2020-06-02,-1,-1347.1013094738082,4,1379.0067934353265
2020-06-04,-1,-1198.885470597707,3,180.12132283761957
2020-06-05,2,2661.1790739416842,5,2841.300396779304
2020-06-08,-5,-7110.995245196796,0,-4269.694848417492
2020-06-09,1,1458.5275077787771,1,-2811.1673406387144
2020-06-24,-1,-1326.3578188245087,0,-4137.525159463223
2020-07-01,1,1431.536592922603,1,-2705.98856654062
2020-07-02,-1,-1450.3050049337337,0,-4156.2935714743535
2020-07-06,2,2869.427814010516,2,-1286.8657574638373
2020-07-07,2,2853.078740026921,4,1566.2129825630836
2020-07-09,0,-35.267796301118096,4,1530.9451862619655
2020-07-13,1,1402.6850504820811,5,2933.6302367440467
2020-07-14,-1,-1411.123592035383,4,1522.5066447086638
2020-07-16,1,1376.4090809705376,5,2898.9157256792014
2020-07-17,0,-16.897364211362856,5,2882.0183614678385
2020-07-24,0,-18.502483726124865,5,2863.5158777417137
2020-08-04,0,-251.98977259621188,5,2611.526105145502
2020-08-07,-2,-2851.6822032312684,3,-240.15609808576664
2020-08-10,2,2917.5125849750007,5,2677.356486889234
2020-08-11,0,35.99065508809531,5,2713.3471419773296
2020-08-12,-3,-4543.959265818464,2,-1830.6121238411342
2020-08-13,-1,-1558.100620551248,1,-3388.7127443923823
2020-08-14,1,1553.1358563040578,2,-1835.5768880883245
2020-08-17,-1,-1635.4956214123029,1,-3471.0725095006273
2020-08-19,1,1564.3374084340844,2,-1906.735101066543
2020-08-25,1,1569.1388710011197,3,-337.59623006542324
2020-08-27,-1,-1623.286242185341,2,-1960.8824722507643
2020-08-28,1,1572.4487794165266,3,-388.4336928342377
2020-08-31,2,3124.723016303803,5,2736.2893234695653
2020-09-02,-1,-1600.9234732368338,4,1135.3658502327314
2020-09-03,1,1513.6724492717562,5,2649.0382995044874
2020-09-09,-1,-1486.947155131881,4,1162.0911443726065
2020-09-11,-1,-1600.3848695668023,3,-438.29372519419576
2020-09-17,0,-37.14337688606474,3,-475.4371020802605
2020-09-18,-1,-1605.6865801554868,2,-2081.1236822357473
2020-09-21,1,1569.4477713088672,3,-511.6759109268801
2020-09-22,1,1573.1775041241106,4,1061.5015931972305
2020-09-24,-1,-1314.0824330037829,3,-252.58083980655238
2020-09-25,1,1521.6979512567684,4,1269.117111450216
2020-09-29,1,1566.8849429141178,5,2836.002054364334
2020-09-30,0,-16.85006778967636,5,2819.1519865746577
2020-10-02,0,26.302950140473513,5,2845.454936715131
2020-10-06,0,59.31279694246018,5,2904.7677336575916
2020-10-07,0,-20.55757838661816,5,2884.2101552709737
2020-10-08,0,-29.15904121069002,5,2855.051114060284
2020-10-09,0,-8.39685555956271,5,2846.654258500721
2020-10-12,0,-9.345325641697173,5,2837.308932859024
2020-10-13,0,-58.65385660149991,5,2778.6550762575243
2020-10-16,0,-39.36881779456053,5,2739.286258462964
2020-10-19,-2,-3261.2100238064622,3,-521.9237653434984
2020-10-22,0,-76.96035620273688,3,-598.8841215462353
2020-10-23,2,3356.1675501353566,5,2757.2834285891213
2020-10-26,0,13.146797386107437,5,2770.4302259752285
2020-10-28,-1,-1668.7748856556934,4,1101.655340319535
2020-10-29,-1,-1505.6470415263086,3,-403.99170120677354
