ticker,trades,net_pnl,gross_profit,gross_loss,wins,losses,win_rate,profit_factor,pnl_share
KMI,2,42.106957114315264,42.106957114315264,0.0,2,0,1.0,,0.008834729945261442
MO,6,42.08784798971533,112.03168973431934,69.94384174460401,5,1,0.8333333333333334,1.601737721862587,0.008830720537626678
TGT,6,42.06412703194326,59.22341228644575,17.159285254502493,4,2,0.6666666666666666,3.451391559033957,0.008825743491781493
ERIE,6,42.02358060593497,221.4545719650214,179.43099135908642,4,2,0.6666666666666666,1.2342046950063117,0.00881723618684715
PEP,5,41.926684590400896,42.74702953414055,0.8203449437396557,4,1,0.8,52.10860365552119,0.00879690581417996
SO,3,41.43228787988994,44.97323328290918,3.5409454030192364,2,1,0.6666666666666666,12.700911243805715,0.00869317327869107
REG,3,40.579250305981645,40.579250305981645,0.0,3,0,1.0,,0.00851419201015199
LLY,2,40.567506550982216,52.629157612075005,12.061651061092787,1,1,0.5,4.363346058139639,0.008511727977814494
APA,7,40.14427203626428,227.41074127072818,187.2664692344639,5,2,0.7142857142857143,1.2143697812020064,0.008422926437705687
ATO,3,40.10468657591741,40.10468657591741,0.0,3,0,1.0,,0.00841462075912212
EMR,2,40.05981168198217,112.56817108558788,72.50835940360571,1,1,0.5,1.5524854239081027,0.008405205270651563
AMCR,4,38.93566244339445,38.93566244339445,0.0,4,0,1.0,,0.008169340329992687
PNW,4,38.89224366052372,38.89224366052372,0.0,4,0,1.0,,0.008160230357496374
SPG,4,37.87007607078306,43.5224024580333,5.652326387250241,3,1,0.75,7.699909643612458,0.007945762838752604
STE,2,37.68308046147445,37.68308046147445,0.0,2,0,1.0,,0.007906528094130567
IBM,4,37.530147452952974,45.49095423650749,7.960806783554517,3,1,0.75,5.714364821726735,0.007874440241609298
LVS,4,37.45966959606733,47.11576988139268,9.656100285325351,3,1,0.75,4.879378681784804,0.007859652831751706
TT,2,37.240601085878325,37.240601085878325,0.0,2,0,1.0,,0.007813688666690426
FRT,6,36.16174108237056,48.09754305523552,11.935801972864963,5,1,0.8333333333333334,4.029686749544037,0.007587326150067384
WEC,3,36.12974088512135,36.12974088512135,0.0,3,0,1.0,,0.0075806119840419375
DTE,4,35.843229409834066,35.843229409834066,0.0,4,0,1.0,,0.007520497179177041
TRI,1,35.51641766210878,35.51641766210878,0.0,1,0,1.0,,0.0074519267164325316
ASML,7,34.73286210100901,113.27977484022085,78.54691273921185,3,4,0.42857142857142855,1.4421925813472465,0.007287523913336823
TRGP,5,34.661625593595545,41.28534450818188,6.623718914586335,3,2,0.6,6.232955389647635,0.007272577326160433
ESS,4,33.98456213951886,38.126544330068555,4.141982190549697,3,1,0.75,9.204903009254283,0.007130518313054026
FTV,4,33.540867025333455,33.540867025333455,0.0,4,0,1.0,,0.007037423803725844
LW,3,33.37867378026539,245.26531376601244,211.88663998574705,2,1,0.6666666666666666,1.1575308088443457,0.007003393001755715
ROP,2,32.58983944129341,32.58983944129341,0.0,2,0,1.0,,0.0068378826245169624
TMUS,2,32.475366926148354,32.475366926148354,0.0,2,0,1.0,,0.006813864414065047
VRSN,7,31.97329828697673,127.90062886127771,95.92733057430098,6,1,0.8571428571428571,1.33330749532545,0.0067085221821620395
LYV,2,31.965907868644535,32.13236776542976,0.1664598967852271,1,1,0.5,193.03368790915547,0.006706971551230192
PYPL,1,31.68709172035301,31.68709172035301,0.0,1,0,1.0,,0.006648471352133731
KDP,4,31.33410773341086,31.61710442316587,0.2829966897550093,3,1,0.75,111.72252385897816,0.006574409524508211
MSTR,2,30.751042675643475,30.751042675643475,0.0,2,0,1.0,,0.006452072916049229
GDDY,1,30.60896560448361,30.60896560448361,0.0,1,0,1.0,,0.00642226281716929
HSIC,2,29.747922378160865,31.2635518616421,1.5156294834812345,1,1,0.5,20.62743711598507,0.006241601831501155
HUBB,3,29.696228058830002,29.696228058830002,0.0,3,0,1.0,,0.00623075551577826
EQIX,2,29.608481496757122,31.09828636325551,1.489804866498389,1,1,0.5,20.874066840947012,0.006212344848452326
EXPE,1,28.87955592098001,28.87955592098001,0.0,1,0,1.0,,0.006059404311934772
AIZ,4,28.33204127197041,108.03778901528108,79.70574774331067,3,1,0.75,1.3554579446793809,0.00594452676208138
WDAY,3,27.737111762123618,151.2641940548225,123.52708229269888,2,1,0.6666666666666666,1.2245427581329915,0.005819700797058696
O,2,26.348115090500414,26.5699528169539,0.2218377264534865,1,1,0.5,119.77202093497345,0.00552826652278087
SRE,1,24.45708498869203,24.45708498869203,0.0,1,0,1.0,,0.005131497404022644
CRL,5,23.772279136961288,25.062884143433166,1.2906050064718784,4,1,0.8,19.41948467405025,0.004987813908951968
BG,3,23.34408915735105,24.719373055688038,1.3752838983369884,2,1,0.6666666666666666,17.974014736578415,0.004897972631064011
AME,2,23.16290807886764,23.16290807886764,0.0,2,0,1.0,,0.004859957870338214
CPB,7,21.720841425868016,125.67535035524043,103.95450892937241,5,2,0.7142857142857143,1.2089456402571759,0.004557388643886384
LH,2,21.024995101343166,32.425144747631066,11.4001496462879,1,1,0.5,2.8442736063722895,0.004411388676615185
BRO,3,20.881056321119104,22.761149340821135,1.880093019702031,2,1,0.6666666666666666,12.106395323157184,0.004381187960650896
PEG,2,20.41245454219529,20.41245454219529,0.0,2,0,1.0,,0.004282867624716351
CZR,3,19.470291072946765,288.40334424205184,268.93305316910505,2,1,0.6666666666666666,1.072398282187738,0.004085186282117707
WY,8,19.377633580468903,122.91221160905968,103.53457802859077,5,3,0.625,1.187160984759293,0.004065745221078207
