date,rsi_ob,rsi_os,equity,actual_date,running_max,drawdown,daily_return
209,60,45,4609.707694219583,2015-10-30,5236.615337086855,-0.11971619118696297,-0.002690580794478925
210,60,45,4672.1286706063065,2015-11-02,5236.615337086855,-0.10779609158662673,0.013541200554863408
211,60,45,4747.48732552294,2015-11-03,5236.615337086855,-0.09340537352434564,0.016129404866509045
212,60,45,4751.137513005688,2015-11-04,5236.615337086855,-0.09270832261497375,0.0007688672412295983
213,60,45,4788.17578159437,2015-11-05,5236.615337086855,-0.08563538213634636,0.007795663351627846
214,60,45,4791.898982683773,2015-11-06,5236.615337086855,-0.0849243883264641,0.000777582373586938
215,60,45,4733.586810318888,2015-11-09,5236.615337086855,-0.09605985820753515,-0.01216890685208627
216,60,45,4742.077814391177,2015-11-10,5236.615337086855,-0.09443839023142597,0.0017937780403178838
217,60,45,4747.057675267387,2015-11-11,5236.615337086855,-0.09348742084458905,0.001050143222259603
218,60,45,4663.37414845166,2015-11-12,5236.615337086855,-0.10946788177763889,-0.017628504336849593
219,60,45,4742.67254056459,2015-11-13,5236.615337086855,-0.09432481951157534,0.017004509951074498
220,60,45,4769.651571223681,2015-11-16,5236.615337086855,-0.08917282171864616,0.00568857124929778
221,60,45,4794.848199499284,2015-11-17,5236.615337086855,-0.0843611969087894,0.005282697886701104
222,60,45,4837.703449912042,2015-11-18,5236.615337086855,-0.07617742787972837,0.008937770004320944
223,60,45,4862.031121036524,2015-11-19,5236.615337086855,-0.07153174177172106,0.005028764449157119
224,60,45,4864.262856777724,2015-11-20,5236.615337086855,-0.07110556272332047,0.0004590130514678936
225,60,45,4870.317739712225,2015-11-23,5236.615337086855,-0.0699493038528971,0.0012447688607257756
226,60,45,4873.934100197709,2015-11-24,5236.615337086855,-0.06925871264985961,0.0007425307092381317
227,60,45,4884.645757918724,2015-11-25,5236.615337086855,-0.06721318189545178,0.0021977436503666237
228,60,45,4882.979192252552,2015-11-27,5236.615337086855,-0.0675314343464899,-0.0003411845502757638
229,60,45,4801.988713297488,2015-11-30,5236.615337086855,-0.08299762266501531,-0.016586283857929374
230,60,45,4834.40320604536,2015-12-01,5236.615337086855,-0.07680765249128396,0.006750222602171174
231,60,45,4801.915210057339,2015-12-02,5236.615337086855,-0.08301165906742747,-0.006720166813433126
232,60,45,4788.590234594207,2015-12-03,5236.615337086855,-0.08555623693030046,-0.002774929352193478
233,60,45,4853.545074039254,2015-12-04,5236.615337086855,-0.07315226312970013,0.013564501505222593
234,60,45,4861.767026563573,2015-12-07,5236.615337086855,-0.07158217405592582,0.0016940097184421354
235,60,45,4812.661162936395,2015-12-08,5236.615337086855,-0.08095957920527863,-0.01010041479957291
236,60,45,4693.120714849634,2015-12-09,5236.615337086855,-0.1037873869382907,-0.024838741818637544
237,60,45,4682.08202829176,2015-12-10,5236.615337086855,-0.10589536811454692,-0.002352099429905108
238,60,45,4620.01560477641,2015-12-11,5236.615337086855,-0.11774776121964714,-0.013256158935343265
239,60,45,4626.12078556722,2015-12-14,5236.615337086855,-0.11658189731752477,0.0013214632401885584
240,60,45,4456.583483924734,2015-12-15,5236.615337086855,-0.14895725634796297,-0.036647832925464585
