ticker,trades,win_rate,avg_profit,total_profit,best_trade,worst_trade,avg_hold_days
TMUS,43,48.8,0.8,34.22,23.01,-17.99,56.6
TPL,41,48.8,7.83,320.91,171.47,-64.34,55.9
TPR,45,31.1,0.08,3.74,32.05,-24.19,50.7
TRGP,39,56.4,3.66,142.89,42.68,-24.24,65.9
TRMB,44,43.2,0.37,16.14,17.95,-9.63,52.1
TROW,38,44.7,1.52,57.67,69.03,-25.12,57.1
TRV,46,37.0,-0.2,-9.06,50.41,-22.01,44.8
TSCO,46,34.8,-0.41,-18.95,10.28,-5.15,45.0
TSLA,45,37.8,5.33,239.87,143.36,-66.28,46.9
TTD,37,45.9,-0.24,-9.01,28.38,-21.4,51.0
TSN,46,43.5,-0.04,-1.88,18.73,-10.32,46.8
TT,39,53.8,3.74,145.71,74.77,-39.33,63.8
UBER,29,41.4,-0.05,-1.49,13.29,-10.26,47.2
TTWO,43,48.8,-0.03,-1.41,32.33,-33.87,55.6
TXN,51,35.3,-1.57,-80.24,73.11,-46.85,42.6
TXT,43,37.2,-0.13,-5.66,14.97,-9.88,49.4
TYL,38,50.0,2.44,92.83,102.04,-86.49,61.7
UAL,47,40.4,0.31,14.45,46.35,-13.37,44.1
UDR,44,29.5,-0.36,-15.79,12.88,-8.08,51.6
VLTO,7,71.4,2.37,16.59,14.31,-6.51,69.9
UHS,45,40.0,-2.25,-101.14,39.52,-34.15,45.7
ULTA,44,38.6,-0.59,-26.12,117.0,-65.67,50.8
UNH,46,39.1,-1.15,-52.78,94.46,-64.38,51.7
UPS,46,41.3,-1.51,-69.46,44.6,-29.51,42.8
UNP,44,52.3,0.27,11.85,32.79,-20.13,51.0
VICI,30,30.0,0.01,0.3,4.89,-2.14,53.1
URI,44,45.5,13.51,594.5,248.9,-89.95,55.8
USB,42,54.8,0.52,21.98,10.76,-4.31,50.0
V,40,55.0,1.67,66.8,56.64,-22.46,55.6
VLO,36,47.2,4.18,150.47,43.08,-15.16,57.5
VMC,40,45.0,2.07,82.61,48.81,-27.61,60.7
VRSK,43,34.9,0.99,42.62,54.65,-21.87,56.0
VST,34,41.2,1.07,36.5,59.88,-30.06,58.5
VRSN,36,50.0,3.89,139.89,52.55,-25.14,65.2
VRTX,38,39.5,0.57,21.84,78.62,-91.38,58.2
VTRS,40,35.0,-0.88,-35.02,4.62,-12.51,46.0
VTR,43,46.5,0.36,15.35,15.35,-15.66,52.8
VZ,49,26.5,-0.77,-37.74,6.82,-6.12,39.9
WAB,46,39.1,1.99,91.75,50.97,-11.02,52.0
WAT,40,37.5,4.46,178.31,119.19,-42.5,48.3
WBD,44,25.0,0.33,14.64,39.82,-4.05,38.0
WDAY,49,38.8,-3.07,-150.47,51.57,-39.99,41.8
WDC,46,39.1,5.1,234.68,151.31,-67.08,51.5
WEC,40,47.5,0.31,12.31,14.99,-12.7,60.2
WELL,45,53.3,1.01,45.36,29.41,-22.78,52.7
WFC,46,39.1,0.19,8.84,11.63,-7.68,46.4
WM,42,54.8,1.54,64.57,48.28,-22.55,56.5
WMB,41,41.5,-0.29,-11.93,12.17,-8.16,51.8
WMT,45,48.9,0.43,19.57,17.17,-12.17,54.3
WRB,46,47.8,0.16,7.16,7.97,-4.46,50.9
WTW,38,36.8,-0.2,-7.48,52.28,-45.01,57.4
WSM,43,51.2,1.94,83.56,36.5,-20.84,49.8
WST,41,36.6,0.87,35.58,157.44,-61.26,54.7
WY,47,38.3,-0.26,-12.23,5.59,-3.04,43.9
ARM,9,44.4,23.98,215.82,181.23,-20.54,64.9
WYNN,48,37.5,-0.82,-39.24,37.0,-27.86,46.9
APP,21,42.9,5.35,112.34,241.27,-121.76,46.8
XEL,40,50.0,0.27,10.7,8.12,-10.84,60.6
XYL,41,51.2,1.24,50.75,24.62,-20.5,58.1
XOM,43,51.2,1.3,55.85,29.68,-12.59,50.0
XYZ,38,50.0,0.66,25.09,76.7,-32.93,54.1
YUM,43,46.5,0.28,12.17,16.33,-9.99,52.4
ZBH,45,35.6,-1.35,-60.73,17.41,-14.37,45.1
ZBRA,42,40.5,4.17,175.18,209.08,-49.7,53.9
GFS,19,36.8,-0.53,-10.05,21.14,-11.59,44.2
ZTS,44,43.2,-0.51,-22.62,40.1,-23.34,48.9
ASML,57,40.4,9.56,544.94,238.75,-189.7,41.7
AZN,56,39.3,-0.27,-15.21,20.86,-15.68,39.5
PDD,31,38.7,1.53,47.46,86.34,-38.02,47.5
CCEP,44,45.5,0.3,13.31,16.15,-6.73,56.4
MELI,43,46.5,17.53,753.96,569.0,-334.06,56.6
MRVL,42,45.2,4.25,178.46,141.13,-15.06,54.3
MSTR,42,40.5,3.07,129.08,176.49,-67.58,49.6
SHOP,41,46.3,2.04,83.8,42.13,-27.16,61.0
ZS,30,43.3,5.58,167.37,79.6,-41.45,56.9
TEAM,42,42.9,0.2,8.31,158.91,-78.55,47.2
TRI,40,45.0,0.99,39.5,31.65,-12.88,59.6
