total_profit,num_trades,win_rate,winning_trades,losing_trades,avg_win,avg_loss,best_trade,worst_trade,profit_factor,risk_reward,max_drawdown,sharpe_ratio,expectancy,max_consecutive_wins,max_consecutive_losses,ticker,strategy
82.47,110,41.8,46,64,5.55,2.7,19.8,-9.94,0.48,2.06,39.12,2.41,0.75,4,9,RTX,MACD
-4.49,114,43.9,50,63,5.03,4.06,22.23,-14.63,-0.02,1.24,112.59,1.13,-0.04,5,10,RVTY,MACD
46.0,117,37.6,44,73,5.39,2.62,24.53,-12.78,0.24,2.06,85.78,2.72,0.39,5,8,RSG,MACD
-72.95,125,36.0,45,80,10.77,6.97,48.51,-21.54,-0.13,1.55,109.62,-0.58,-0.58,4,12,SBAC,MACD
0.77,24,37.5,9,15,6.24,3.69,20.68,-7.82,0.01,1.69,26.26,1.12,0.03,2,6,SOLV,MACD
-63.49,125,33.6,42,83,3.94,2.76,20.76,-14.3,-0.28,1.43,83.22,-1.36,-0.51,4,10,SBUX,MACD
89.49,106,42.5,45,61,4.79,2.07,17.84,-7.96,0.71,2.32,22.17,3.98,0.84,5,6,SCHW,MACD
-113.12,127,29.1,37,90,5.56,3.54,22.64,-21.32,-0.35,1.57,124.74,-2.25,-0.89,5,14,SJM,MACD
108.01,115,37.4,43,72,14.52,7.17,72.99,-28.01,0.21,2.02,123.55,1.64,0.94,7,7,SHW,MACD
44.43,101,37.6,38,63,4.75,2.16,14.48,-6.17,0.33,2.2,23.2,2.7,0.44,5,8,SLB,MACD
30.81,108,33.3,36,72,3.74,1.44,53.08,-18.32,0.3,2.59,58.49,2.1,0.29,3,7,SMCI,MACD
-0.71,127,37.8,48,79,10.06,6.12,58.14,-30.73,-0.0,1.64,88.11,0.43,-0.01,4,9,SNA,MACD
361.78,111,46.8,52,59,19.87,11.38,123.25,-54.42,0.54,1.75,135.35,3.14,3.26,5,5,SNPS,MACD
70.51,113,38.9,44,69,8.36,4.31,35.34,-15.27,0.24,1.94,67.89,1.61,0.62,4,9,SPG,MACD
32.58,118,34.7,41,77,3.17,1.27,10.06,-4.27,0.33,2.51,12.81,1.73,0.28,4,6,SO,MACD
237.55,115,44.3,51,64,13.79,7.28,51.07,-49.61,0.51,1.89,58.35,2.42,2.07,4,8,SPGI,MACD
-8.8,120,32.5,39,81,3.1,1.6,13.31,-15.87,-0.07,1.94,32.76,-0.16,-0.07,5,11,SRE,MACD
119.38,110,43.6,48,62,7.82,4.13,31.99,-16.5,0.47,1.89,50.98,2.89,1.09,5,8,STE,MACD
154.99,115,43.5,50,65,7.05,3.04,61.02,-16.51,0.79,2.32,46.79,3.62,1.35,4,9,STLD,MACD
37.05,115,36.5,42,72,5.51,2.7,21.8,-7.69,0.19,2.04,31.98,1.74,0.32,3,6,STT,MACD
9.3,114,38.6,44,70,15.29,9.48,311.48,-131.44,0.01,1.61,409.67,2.03,0.08,4,10,STX,MACD
10.83,122,36.9,45,77,8.07,4.57,38.7,-17.49,0.03,1.76,82.51,0.23,0.09,4,6,STZ,MACD
-54.48,110,33.6,37,71,2.42,2.03,8.04,-8.42,-0.38,1.19,71.18,-1.44,-0.5,4,14,SW,MACD
-152.89,125,33.6,42,83,5.88,4.82,25.62,-19.24,-0.38,1.22,180.9,-2.16,-1.22,3,10,SWK,MACD
-72.53,123,30.9,38,85,8.78,4.78,39.62,-18.33,-0.18,1.84,132.42,0.09,-0.59,5,12,SWKS,MACD
