total_profit,num_trades,win_rate,winning_trades,losing_trades,avg_win,avg_loss,best_trade,worst_trade,profit_factor,risk_reward,max_drawdown,sharpe_ratio,expectancy,max_consecutive_wins,max_consecutive_losses,ticker,strategy
-7.24,9,33.3,3,6,2.2,2.31,3.42,-4.34,-0.52,0.95,8.04,-4.51,-0.8,2,3,MNST,MA Cross
-22.17,9,22.2,2,7,8.39,5.56,14.93,-10.96,-0.57,1.51,33.33,-3.59,-2.46,1,5,MO,MA Cross
145.28,3,33.3,1,2,196.31,25.52,196.31,-34.01,2.85,7.69,51.03,10.55,48.43,1,2,MRNA,MA Cross
84.8,8,25.0,2,6,95.74,17.78,122.18,-31.68,0.79,5.38,63.89,5.26,10.6,1,3,MOH,MA Cross
18.25,6,33.3,2,4,19.94,5.41,37.36,-6.01,0.84,3.69,10.88,4.96,3.04,2,2,MOS,MA Cross
72.42,5,60.0,3,2,38.66,21.78,71.08,-24.98,1.66,1.78,24.98,6.82,14.48,2,1,MPC,MA Cross
166.82,5,40.0,2,3,189.5,70.72,316.43,-147.57,0.79,2.68,212.17,9.28,33.36,2,3,MPWR,MA Cross
21.97,6,50.0,3,3,15.13,7.81,30.92,-10.4,0.94,1.94,12.05,4.84,3.66,1,1,MRK,MA Cross
53.69,7,57.1,4,3,20.61,9.58,32.86,-17.13,1.87,2.15,23.77,6.64,7.67,2,2,MS,MA Cross
155.83,9,33.3,3,6,142.67,45.36,363.99,-75.49,0.57,3.15,272.17,6.04,17.31,3,6,MSCI,MA Cross
273.76,6,50.0,3,3,118.78,27.53,173.53,-49.37,3.31,4.31,82.59,11.89,45.63,3,3,MSFT,MA Cross
137.88,6,50.0,3,3,102.54,56.58,193.22,-110.04,0.81,1.81,164.28,9.63,22.98,2,2,MSI,MA Cross
11.15,8,75.0,6,2,14.96,39.3,28.97,-58.6,0.14,0.38,78.6,2.34,1.39,3,2,MTB,MA Cross
433.27,10,40.0,4,6,219.71,74.26,495.74,-173.9,0.97,2.96,201.51,5.78,43.33,1,2,MTD,MA Cross
19.23,8,37.5,3,5,26.64,12.14,58.29,-34.49,0.32,2.19,53.71,4.47,2.4,2,4,MTCH,MA Cross
46.68,7,57.1,4,3,21.58,13.21,31.58,-25.99,1.18,1.63,25.99,7.62,6.67,1,1,MU,MA Cross
-65.51,12,25.0,3,9,2.77,8.2,7.72,-31.28,-0.89,0.34,73.23,-14.69,-5.46,1,4,NCLH,MA Cross
41.55,6,83.3,5,1,10.58,11.35,22.8,-11.35,3.66,0.93,11.35,13.59,6.93,3,1,NDAQ,MA Cross
-68.68,11,45.5,5,6,15.17,24.09,42.04,-41.38,-0.48,0.63,117.84,0.56,-6.24,3,4,NDSN,MA Cross
35.51,8,62.5,5,3,11.3,6.99,23.01,-10.47,1.69,1.62,20.98,8.0,4.44,3,3,NEE,MA Cross
40.09,9,55.6,5,4,14.95,8.67,39.26,-12.94,1.16,1.72,34.68,6.3,4.45,4,4,NEM,MA Cross
83.82,5,60.0,3,2,34.0,9.09,71.09,-11.23,4.61,3.74,11.23,12.25,16.76,1,1,NFLX,MA Cross
3.89,8,37.5,3,5,4.6,1.98,13.49,-6.52,0.39,2.32,9.79,1.66,0.49,1,3,NI,MA Cross
-21.06,9,22.2,2,7,20.76,8.94,33.14,-21.01,-0.34,2.32,46.36,-2.11,-2.34,1,4,NKE,MA Cross
89.13,5,40.0,2,3,87.08,28.34,125.77,-34.96,1.05,3.07,50.07,4.47,17.83,1,2,NOC,MA Cross
84.43,7,71.4,5,2,23.93,17.62,58.63,-28.37,2.4,1.36,28.37,8.83,12.06,5,1,NOW,MA Cross
-22.17,8,37.5,3,5,43.19,30.35,73.61,-54.36,-0.15,1.42,98.58,2.7,-2.77,2,4,NSC,MA Cross
88.27,11,27.3,3,8,48.45,7.14,123.81,-12.87,1.55,6.79,31.38,4.7,8.02,1,4,NRG,MA Cross
77.98,5,60.0,3,2,39.6,20.41,46.26,-22.91,1.91,1.94,22.91,11.21,15.6,2,1,NTAP,MA Cross
3.95,8,50.0,4,4,14.4,13.41,26.34,-32.98,0.07,1.07,39.97,1.5,0.49,2,2,NTRS,MA Cross
26.01,7,28.6,2,5,35.66,9.06,59.4,-18.66,0.57,3.94,36.01,5.41,3.72,1,3,NUE,MA Cross
116.46,2,100.0,2,0,58.23,0.0,99.26,17.2,116.46,0.0,0.0,127.42,58.23,2,0,NVDA,MA Cross
4790.86,5,80.0,4,1,1397.56,799.36,3269.53,-799.36,5.99,1.75,799.36,15.63,958.17,4,1,NVR,MA Cross
14.32,7,42.9,3,4,7.05,1.7,11.18,-3.38,2.1,4.13,3.38,5.9,2.05,1,2,NWS,MA Cross
7.75,8,37.5,3,5,6.05,2.08,9.45,-3.61,0.74,2.91,3.61,4.13,0.97,1,2,NWSA,MA Cross
34.26,6,50.0,3,3,50.67,39.25,69.46,-67.88,0.29,1.29,104.22,5.24,5.71,2,2,NXPI,MA Cross
-18.58,8,37.5,3,5,4.13,6.19,6.06,-13.54,-0.6,0.67,24.64,-4.74,-2.32,2,4,O,MA Cross
3.68,3,66.7,2,1,4.95,6.22,8.55,-6.22,0.59,0.8,6.22,4.35,1.23,2,1,OTIS,MA Cross
