ticker,entry_date,exit_date,entry_price,entry_rsi,exit_price,exit_rsi,profit,profit_pct,days_held,exit_reason
ADP,2019-11-12,2019-11-25,166.36,63.6,170.2,88.9,3.84,2.31,13,RSI OB
ADP,2020-05-29,2020-06-03,146.49,50.7,151.68,79.8,5.19,3.54,5,RSI OB
ADP,2020-10-05,2020-10-09,140.96,56.7,149.85,80.6,8.89,6.31,4,RSI OB
ADP,2021-02-18,2021-03-15,172.6,62.9,189.08,72.3,16.48,9.55,25,RSI OB
ADP,2021-05-24,2021-07-09,197.04,56.6,203.72,78.3,6.68,3.39,46,RSI OB
ADP,2021-10-07,2021-10-18,207.57,66.9,212.57,77.5,5.0,2.41,11,RSI OB
ADP,2021-12-23,2022-01-04,242.0,65.1,245.15,72.0,3.15,1.3,12,RSI OB
ADP,2022-05-27,2022-06-13,224.66,67.9,204.76,41.2,-19.9,-8.86,17,SuperTrend
ADP,2022-06-24,2022-07-08,218.79,48.2,217.27,72.9,-1.52,-0.69,14,RSI OB
ADP,2023-04-28,2023-05-31,220.0,62.0,208.99,39.1,-11.01,-5.0,33,SuperTrend
ADP,2023-06-12,2023-06-21,218.36,53.7,220.56,72.2,2.2,1.01,9,RSI OB
ADP,2023-10-09,2023-10-16,250.18,56.5,249.26,72.2,-0.92,-0.37,7,RSI OB
ADP,2023-11-20,2023-11-21,231.71,68.9,231.21,86.9,-0.5,-0.22,1,RSI OB
ADP,2024-05-17,2024-05-22,252.33,63.0,254.02,76.8,1.69,0.67,5,RSI OB
ADP,2024-06-07,2024-06-26,252.32,50.0,238.02,38.9,-14.3,-5.67,19,SuperTrend
ADP,2024-07-16,2024-07-17,245.82,46.2,249.25,71.0,3.43,1.4,1,RSI OB
ADP,2025-01-30,2025-01-31,303.26,69.0,303.01,82.1,-0.25,-0.08,1,RSI OB
ADP,2025-05-07,2025-05-09,305.18,63.7,307.72,84.1,2.54,0.83,2,RSI OB
ADP,2025-12-05,2025-12-11,261.63,64.4,264.69,72.9,3.06,1.17,6,RSI OB
