total_profit,num_trades,win_rate,winning_trades,losing_trades,avg_win,avg_loss,best_trade,worst_trade,profit_factor,risk_reward,max_drawdown,sharpe_ratio,expectancy,max_consecutive_wins,max_consecutive_losses,ticker,strategy
-77.39,46,39.1,18,28,16.35,13.28,56.82,-38.74,-0.21,1.23,174.1,-0.09,-1.68,3,7,APD,SuperTrend
25.83,46,50.0,23,23,2.6,1.48,29.05,-5.17,0.76,1.76,14.33,3.4,0.56,6,4,APH,SuperTrend
-68.06,51,39.2,20,31,7.85,7.26,43.43,-16.88,-0.3,1.08,125.92,-0.56,-1.33,5,6,APTV,SuperTrend
19.61,46,50.0,23,23,6.17,5.32,45.29,-24.95,0.16,1.16,54.82,2.05,0.43,6,5,APO,SuperTrend
24.08,40,55.0,22,18,6.02,6.02,16.52,-22.34,0.22,1.0,26.6,2.42,0.6,4,3,AWK,SuperTrend
-75.63,48,35.4,17,31,6.32,5.91,27.81,-15.14,-0.41,1.07,91.0,-2.6,-1.58,5,7,ARE,SuperTrend
249.21,43,60.5,26,17,14.43,7.4,154.83,-55.68,1.98,1.95,55.68,5.19,5.8,5,3,AVGO,SuperTrend
18.72,40,50.0,20,20,5.66,4.72,21.38,-18.22,0.2,1.2,38.38,1.28,0.47,3,5,ATO,SuperTrend
0.58,40,40.0,16,24,14.24,9.47,44.68,-21.35,0.0,1.5,123.72,2.13,0.01,3,7,AVY,SuperTrend
167.27,47,51.1,24,23,31.14,25.22,150.44,-117.29,0.29,1.23,321.51,3.98,3.56,5,4,AXON,SuperTrend
289.31,44,50.0,22,22,113.96,100.81,414.24,-451.3,0.13,1.13,589.18,2.0,6.58,3,5,AZO,SuperTrend
22.01,50,48.0,24,26,8.85,7.32,40.63,-19.42,0.12,1.21,45.76,1.41,0.44,3,4,AXP,SuperTrend
151.1,46,37.0,17,29,32.63,13.92,143.63,-37.93,0.37,2.34,102.23,2.65,3.28,4,6,BA,SuperTrend
29.32,47,53.2,25,22,2.59,1.61,7.52,-3.07,0.83,1.61,8.65,4.06,0.62,4,4,BAC,SuperTrend
-9.12,42,35.7,15,27,6.42,3.91,21.6,-12.97,-0.09,1.64,55.35,0.67,-0.22,3,10,BALL,SuperTrend
18.2,37,54.1,20,16,3.56,3.32,10.98,-12.66,0.34,1.07,27.49,2.01,0.49,4,6,BAX,SuperTrend
-0.1,46,41.3,19,27,8.47,5.96,40.36,-14.82,-0.0,1.42,78.68,1.57,-0.0,5,5,BBY,SuperTrend
-56.19,44,36.4,16,28,9.95,7.7,20.5,-14.28,-0.26,1.29,139.95,-0.74,-1.28,3,8,BDX,SuperTrend
40.08,39,43.6,17,21,8.46,4.94,25.06,-12.51,0.39,1.71,39.85,2.58,1.03,4,9,BG,SuperTrend
24.8,52,42.3,22,30,9.09,5.84,49.65,-16.17,0.14,1.56,88.45,-0.12,0.48,2,7,BKNG,SuperTrend
10.45,38,47.4,18,20,2.53,1.75,7.43,-3.24,0.3,1.44,15.64,2.35,0.27,4,4,BEN,SuperTrend
-556.44,44,27.3,12,32,18.52,24.33,55.84,-119.37,-0.71,0.76,539.31,-6.4,-12.65,3,7,BIIB,SuperTrend
145.1,35,54.3,19,16,13.67,7.17,65.89,-38.26,1.27,1.91,38.26,6.31,4.15,4,5,BLDR,SuperTrend
-19.51,47,40.4,19,27,3.5,3.18,11.12,-20.43,-0.23,1.1,49.4,0.31,-0.42,3,6,BKR,SuperTrend
767.01,41,58.5,24,17,51.36,27.39,181.81,-56.05,1.65,1.88,99.66,5.61,18.71,4,3,BLK,SuperTrend
8.66,22,40.9,9,13,5.07,2.85,14.23,-5.2,0.23,1.78,15.34,2.28,0.39,2,4,CARR,SuperTrend
-3.59,39,38.5,15,24,5.31,3.47,18.76,-12.0,-0.04,1.53,22.28,0.59,-0.09,2,5,BMY,SuperTrend
16.6,44,45.5,20,24,4.39,2.97,9.46,-9.46,0.23,1.48,22.91,2.06,0.38,2,4,BRO,SuperTrend
25.75,37,40.5,15,22,5.21,2.38,20.55,-7.32,0.49,2.19,25.35,3.21,0.7,3,6,BSX,SuperTrend
93.22,38,47.4,18,20,11.79,5.95,25.47,-21.94,0.78,1.98,58.33,5.14,2.45,5,5,BR,SuperTrend
-10.08,40,35.0,14,26,1.57,1.23,3.38,-3.19,-0.31,1.27,13.55,-1.95,-0.25,3,6,CAG,SuperTrend
20.58,47,44.7,21,26,8.03,5.7,32.74,-20.78,0.14,1.41,69.96,1.26,0.44,5,5,BX,SuperTrend
62.68,47,44.7,21,26,7.95,4.01,42.75,-8.46,0.6,1.98,55.34,0.86,1.33,7,5,CAH,SuperTrend
-32.68,39,35.9,14,25,7.49,5.5,20.7,-18.57,-0.24,1.36,82.64,0.15,-0.84,4,9,BXP,SuperTrend
16.76,49,38.8,19,30,6.3,3.43,30.55,-12.62,0.16,1.84,41.44,1.13,0.34,3,8,C,SuperTrend
541.5,45,51.1,23,22,33.59,10.51,142.72,-36.1,2.34,3.2,58.1,4.49,12.03,5,4,CAT,SuperTrend
99.84,16,43.8,7,9,36.65,17.41,82.33,-40.97,0.64,2.1,94.1,5.19,6.24,2,4,CEG,SuperTrend
23.13,43,48.8,21,22,8.43,7.0,21.65,-19.45,0.15,1.21,55.86,1.78,0.54,3,3,CB,SuperTrend
130.7,32,50.0,16,16,15.47,7.3,64.34,-13.31,1.12,2.12,36.16,3.26,4.08,4,5,CBOE,SuperTrend
69.82,43,46.5,20,23,8.2,4.09,38.74,-12.72,0.74,2.0,40.22,3.63,1.62,4,5,CBRE,SuperTrend
-16.76,49,38.8,19,30,2.94,2.42,7.34,-6.64,-0.23,1.21,29.93,0.08,-0.34,4,8,CCL,SuperTrend
-60.33,42,45.2,19,23,6.88,8.31,17.29,-27.74,-0.32,0.83,78.15,-1.75,-1.44,4,5,CCI,SuperTrend
-169.38,53,37.7,20,33,11.15,11.89,34.04,-40.88,-0.43,0.94,226.33,0.82,-3.2,2,4,CDNS,SuperTrend
-22.15,49,51.0,25,24,8.3,9.57,33.73,-32.81,-0.1,0.87,140.85,0.54,-0.45,4,5,CDW,SuperTrend
9.24,44,38.6,17,27,8.57,5.06,38.05,-16.68,0.07,1.7,47.31,0.84,0.21,4,8,CF,SuperTrend
2.8,39,48.7,19,20,4.25,3.9,19.25,-11.55,0.04,1.09,35.14,1.59,0.07,4,3,CHD,SuperTrend
39.12,37,48.6,18,19,4.17,1.89,12.44,-4.89,1.09,2.2,10.49,4.51,1.06,4,3,CFG,SuperTrend
-25.72,41,43.9,18,23,6.62,6.3,27.0,-20.37,-0.18,1.05,70.96,-0.42,-0.63,3,6,CHRW,SuperTrend
35.28,41,43.9,18,23,36.2,26.79,87.95,-64.56,0.06,1.35,399.17,0.44,0.86,6,6,CHTR,SuperTrend
-230.64,47,31.9,15,32,19.04,16.13,52.51,-63.9,-0.45,1.18,309.9,-1.85,-4.91,3,13,CI,SuperTrend
39.14,42,54.8,23,19,6.3,5.57,22.94,-23.87,0.37,1.13,30.87,2.37,0.93,7,4,CINF,SuperTrend
-20.02,45,40.0,18,27,3.85,3.31,11.8,-11.48,-0.22,1.16,28.81,-1.25,-0.44,6,4,CL,SuperTrend
0.64,21,38.1,8,13,42.42,26.05,110.82,-62.62,0.0,1.63,110.26,1.82,0.03,3,4,COIN,SuperTrend
43.5,37,45.9,17,20,11.9,7.94,50.29,-20.31,0.27,1.5,61.06,1.79,1.18,3,3,CLX,SuperTrend
-4.96,36,41.7,15,20,1.86,1.64,4.27,-4.08,-0.15,1.13,21.5,-0.62,-0.14,4,6,CMCSA,SuperTrend
-19.43,42,33.3,14,28,15.4,8.39,33.13,-51.32,-0.08,1.83,69.87,0.32,-0.46,3,6,CME,SuperTrend
21.43,49,34.7,17,32,4.18,1.55,15.25,-9.23,0.43,2.7,18.39,2.65,0.44,4,8,CMG,SuperTrend
200.41,42,47.6,20,22,24.02,12.73,78.41,-78.35,0.72,1.89,78.35,4.17,4.77,4,4,CMI,SuperTrend
-25.48,45,35.6,16,29,5.85,4.1,24.54,-13.61,-0.21,1.42,74.26,0.6,-0.57,6,8,CNC,SuperTrend
-1.96,41,48.8,20,21,2.29,2.28,6.17,-9.46,-0.04,1.01,14.51,0.48,-0.05,4,3,CMS,SuperTrend
7.09,38,55.3,21,17,1.3,1.19,4.85,-2.66,0.35,1.09,5.11,2.33,0.19,6,3,CNP,SuperTrend
31.5,44,31.8,14,30,16.87,6.82,40.89,-24.0,0.15,2.47,61.13,1.71,0.72,3,6,COF,SuperTrend
27.42,39,41.0,16,23,8.75,4.89,16.17,-14.3,0.24,1.79,39.5,2.5,0.7,4,6,COO,SuperTrend
91.72,27,40.7,11,16,15.18,4.71,48.83,-11.87,1.22,3.23,29.88,4.46,3.4,4,5,CRWD,SuperTrend
24.74,47,40.4,19,28,8.24,4.71,30.35,-13.35,0.19,1.75,63.23,2.25,0.53,8,7,COP,SuperTrend
702.76,38,55.3,21,17,45.88,15.33,154.29,-58.29,2.7,2.99,88.44,7.86,18.49,4,3,COST,SuperTrend
86.87,42,40.5,17,25,15.65,7.17,52.86,-19.96,0.48,2.18,58.94,1.73,2.07,3,6,COR,SuperTrend
-174.18,49,30.6,15,34,17.92,13.03,57.35,-32.8,-0.39,1.38,236.04,-1.37,-3.55,3,8,CPAY,SuperTrend
-34.39,40,27.5,11,29,2.49,2.13,7.92,-4.8,-0.56,1.17,41.62,-5.48,-0.86,2,8,CPB,SuperTrend
-20.86,45,40.0,18,27,20.66,14.55,79.36,-39.44,-0.05,1.42,123.0,0.58,-0.46,6,7,CRM,SuperTrend
-6.69,40,32.5,13,27,9.12,4.64,72.38,-12.65,-0.05,1.97,45.19,0.15,-0.17,2,6,CPT,SuperTrend
34.45,39,53.8,21,18,2.82,1.38,11.77,-3.7,1.39,2.04,5.58,6.52,0.88,3,3,CPRT,SuperTrend
-38.97,44,40.9,18,26,15.86,12.48,62.93,-50.97,-0.12,1.27,178.26,0.62,-0.89,4,5,CRL,SuperTrend
31.24,48,43.8,21,27,5.04,2.76,30.07,-12.02,0.42,1.82,18.13,2.34,0.65,2,4,CSCO,SuperTrend
72.88,20,40.0,8,12,26.0,11.26,48.16,-25.96,0.54,2.31,58.51,2.85,3.64,4,6,DASH,SuperTrend
-26.76,43,39.5,17,26,5.48,4.61,22.29,-14.53,-0.22,1.19,62.69,0.85,-0.62,3,6,CSGP,SuperTrend
-13.45,30,40.0,12,18,4.19,3.54,13.79,-7.76,-0.21,1.18,35.62,-0.53,-0.45,2,8,CTVA,SuperTrend
14.12,43,41.9,18,25,2.26,1.06,7.26,-2.26,0.53,2.13,6.61,2.31,0.33,5,4,CSX,SuperTrend
29.83,44,54.5,24,20,6.6,6.43,39.46,-15.1,0.23,1.03,45.2,3.17,0.68,5,3,CTAS,SuperTrend
-8.37,45,35.6,16,29,4.78,2.92,18.33,-9.52,-0.1,1.63,24.54,-0.09,-0.19,2,8,CTSH,SuperTrend
-75.15,54,31.5,17,37,5.35,4.49,20.9,-11.44,-0.45,1.19,99.03,-3.3,-1.39,3,6,CVS,SuperTrend
89.56,39,51.3,20,19,10.2,6.03,43.03,-16.43,0.78,1.69,31.71,4.0,2.3,3,3,CVX,SuperTrend
-61.97,45,35.6,16,29,2.58,3.56,7.19,-17.72,-0.6,0.72,64.14,-5.11,-1.38,3,6,D,SuperTrend
0.45,49,42.9,21,28,4.38,3.27,17.52,-7.91,0.0,1.34,34.52,0.42,0.01,4,8,DAL,SuperTrend
0.93,43,44.2,19,24,4.8,3.76,19.4,-17.23,0.01,1.28,49.59,2.6,0.02,5,5,CZR,SuperTrend
101.7,23,34.8,8,15,38.29,13.64,96.89,-44.49,0.5,2.81,81.8,3.83,4.42,2,4,DDOG,SuperTrend
